Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_ordinal,Fare_per_class,Family_size,Fare_log,Age_group,Survived_label,Class_label
1,3,19.0,0,0,7.8792,False,True,False,1,7.8792,1,2.1837114628556327,Adult,Survived,3rd Class
0,3,28.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,28.0,1,0,15.5,True,True,False,1,15.5,2,2.803360380906535,Adult,Did Not Survive,3rd Class
0,3,28.0,2,0,21.6792,True,False,False,1,21.6792,3,3.121448204868825,Adult,Did Not Survive,3rd Class
0,3,18.0,1,0,17.8,False,False,True,1,17.8,2,2.9338568698359033,Youth,Did Not Survive,3rd Class
0,3,7.0,4,1,39.6875,True,False,True,1,39.6875,6,3.705920919968788,Child,Did Not Survive,3rd Class
0,3,21.0,0,0,7.8,True,False,True,1,7.8,1,2.174751721484161,Adult,Did Not Survive,3rd Class
1,1,49.0,1,0,76.7292,False,False,False,3,25.576400000000003,2,4.353230991152628,Middle-Aged,Survived,1st Class
1,2,29.0,1,0,26.0,False,False,True,2,13.0,2,3.295836866004329,Adult,Survived,2nd Class
0,1,65.0,0,1,61.9792,True,False,False,3,20.65973333333333,2,4.142804513146981,Senior,Did Not Survive,1st Class
1,2,21.0,0,0,10.5,False,False,True,2,5.25,1,2.4423470353692043,Adult,Survived,2nd Class
0,3,28.5,0,0,7.2292,True,False,False,1,7.2292,1,2.1076888046179385,Adult,Did Not Survive,3rd Class
1,2,5.0,1,2,27.75,False,False,True,2,13.875,4,3.3586377672433594,Child,Survived,2nd Class
0,3,11.0,5,2,46.9,True,False,True,1,46.9,8,3.8691155044168695,Child,Did Not Survive,3rd Class
0,3,22.0,0,0,7.2292,True,False,False,1,7.2292,1,2.1076888046179385,Adult,Did Not Survive,3rd Class
1,1,38.0,0,0,80.0,False,False,True,3,26.666666666666668,1,4.394449154672439,Middle-Aged,Survived,1st Class
0,1,45.0,1,0,83.475,True,False,True,3,27.825,2,4.436455632600354,Middle-Aged,Did Not Survive,1st Class
0,3,4.0,3,2,27.9,True,False,True,1,27.9,6,3.3638415951183864,Child,Did Not Survive,3rd Class
0,1,28.0,0,0,27.7208,True,False,False,3,9.240266666666667,1,3.357621598945279,Adult,Did Not Survive,1st Class
1,3,28.0,1,1,15.2458,True,False,False,1,15.2458,3,2.7878344138303452,Adult,Survived,3rd Class
1,2,29.0,0,0,10.5,False,False,True,2,5.25,1,2.4423470353692043,Adult,Survived,2nd Class
0,3,19.0,0,0,8.1583,True,False,True,1,8.1583,1,2.2146605719425225,Adult,Did Not Survive,3rd Class
1,3,17.0,4,2,7.925,False,False,True,1,7.925,7,2.188856327665703,Youth,Survived,3rd Class
0,3,26.0,2,0,8.6625,True,False,True,1,8.6625,3,2.2682524139135403,Adult,Did Not Survive,3rd Class
0,2,32.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Did Not Survive,2nd Class
0,3,16.0,5,2,46.9,False,False,True,1,46.9,8,3.8691155044168695,Youth,Did Not Survive,3rd Class
0,2,21.0,0,0,73.5,True,False,True,2,36.75,1,4.310799125385514,Adult,Did Not Survive,2nd Class
0,3,26.0,1,0,14.4542,True,False,False,1,14.4542,2,2.737880811060884,Adult,Did Not Survive,3rd Class
1,3,32.0,0,0,56.4958,True,False,True,1,56.4958,1,4.051711901657239,Adult,Survived,3rd Class
0,3,25.0,0,0,7.65,True,False,True,1,7.65,1,2.157559320943788,Adult,Did Not Survive,3rd Class
1,2,0.83,0,2,29.0,True,False,True,2,14.5,3,3.4011973816621555,Child,Survived,2nd Class
1,3,30.0,0,0,12.475,False,False,True,1,12.475,1,2.600836116795061,Adult,Survived,3rd Class
0,3,22.0,0,0,9.0,True,False,True,1,9.0,1,2.302585092994046,Adult,Did Not Survive,3rd Class
1,3,29.0,0,0,9.5,True,False,True,1,9.5,1,2.3513752571634776,Adult,Survived,3rd Class
1,3,28.0,0,0,7.7875,False,True,False,1,7.7875,1,2.1733302571367834,Adult,Survived,3rd Class
0,1,28.0,0,0,47.1,True,False,True,3,15.700000000000001,1,3.8732821771117156,Adult,Did Not Survive,1st Class
1,2,17.0,0,0,10.5,False,False,True,2,5.25,1,2.4423470353692043,Youth,Survived,2nd Class
1,3,33.0,3,0,15.85,False,False,True,1,15.85,4,2.8243506567983707,Adult,Survived,3rd Class
0,3,16.0,1,3,34.375,True,False,True,1,34.375,5,3.5660053559634015,Youth,Did Not Survive,3rd Class
1,1,23.0,3,2,262.375,False,False,True,3,87.45833333333333,6,5.5735788721243535,Adult,Survived,1st Class
0,3,24.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,29.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,20.0,0,0,7.8542,True,False,True,1,7.8542,1,2.180891922715322,Adult,Did Not Survive,3rd Class
0,1,46.0,1,0,61.175,True,False,True,3,20.391666666666666,2,4.1299529896894684,Middle-Aged,Did Not Survive,1st Class
0,3,26.0,1,2,20.575,True,False,True,1,20.575,4,3.0715352369694915,Adult,Did Not Survive,3rd Class
0,3,59.0,0,0,7.25,True,False,True,1,7.25,1,2.1102132003465894,Middle-Aged,Did Not Survive,3rd Class
0,1,71.0,0,0,34.6542,True,False,False,3,11.551400000000001,1,3.57386695198272,Senior,Did Not Survive,1st Class
1,1,23.0,0,1,63.3583,True,False,False,3,21.119433333333333,2,4.164465907853638,Adult,Survived,1st Class
1,2,34.0,0,1,23.0,False,False,True,2,11.5,2,3.1780538303479458,Adult,Survived,2nd Class
0,2,34.0,1,0,26.0,True,False,True,2,13.0,2,3.295836866004329,Adult,Did Not Survive,2nd Class
0,3,28.0,0,0,7.8958,False,False,True,1,7.8958,1,2.1855792552411137,Adult,Did Not Survive,3rd Class
0,1,21.0,0,1,77.2875,True,False,True,3,25.7625,2,4.360387947851531,Adult,Did Not Survive,1st Class
0,3,33.0,0,0,8.6542,True,False,True,1,8.6542,1,2.267393053825037,Adult,Did Not Survive,3rd Class
0,3,37.0,2,0,7.925,True,False,True,1,7.925,3,2.188856327665703,Middle-Aged,Did Not Survive,3rd Class
1,3,21.0,0,0,7.65,False,False,True,1,7.65,1,2.157559320943788,Adult,Survived,3rd Class
1,3,28.0,0,0,7.775,True,False,True,1,7.775,1,2.1719067693519296,Adult,Survived,3rd Class
0,3,38.0,0,0,7.8958,True,False,True,1,7.8958,1,2.1855792552411137,Middle-Aged,Did Not Survive,3rd Class
1,3,28.0,1,0,24.15,False,True,False,1,24.15,2,3.224857896545748,Adult,Survived,3rd Class
0,1,47.0,0,0,52.0,True,False,True,3,17.333333333333332,1,3.970291913552122,Middle-Aged,Did Not Survive,1st Class
0,3,14.5,1,0,14.4542,False,False,False,1,14.4542,2,2.737880811060884,Youth,Did Not Survive,3rd Class
0,3,22.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,20.0,1,0,9.825,False,False,True,1,9.825,2,2.3818582738885534,Adult,Did Not Survive,3rd Class
0,3,17.0,0,0,14.4583,False,False,False,1,14.4583,1,2.738146075922933,Youth,Did Not Survive,3rd Class
0,3,21.0,0,0,7.925,True,False,True,1,7.925,1,2.188856327665703,Adult,Did Not Survive,3rd Class
0,3,70.5,0,0,7.75,True,True,False,1,7.75,1,2.169053700369523,Senior,Did Not Survive,3rd Class
0,2,29.0,1,0,21.0,True,False,True,2,10.5,2,3.091042453358316,Adult,Did Not Survive,2nd Class
0,1,24.0,0,1,247.5208,True,False,False,3,82.50693333333334,2,5.515526544247129,Adult,Did Not Survive,1st Class
0,3,2.0,4,2,31.275,False,False,True,1,31.275,7,3.4742929367327062,Child,Did Not Survive,3rd Class
0,2,21.0,2,0,73.5,True,False,True,2,36.75,3,4.310799125385514,Adult,Did Not Survive,2nd Class
0,2,32.5,1,0,30.0708,True,False,False,2,15.0354,2,3.436268471383741,Adult,Did Not Survive,2nd Class
1,2,32.5,0,0,13.0,False,False,True,2,6.5,1,2.639057329615259,Adult,Survived,2nd Class
0,1,54.0,0,1,77.2875,True,False,True,3,25.7625,2,4.360387947851531,Middle-Aged,Did Not Survive,1st Class
1,3,12.0,1,0,11.2417,True,False,False,1,11.2417,2,2.5048481563289,Child,Survived,3rd Class
0,3,28.0,0,0,7.75,True,True,False,1,7.75,1,2.169053700369523,Adult,Did Not Survive,3rd Class
1,3,24.0,0,0,7.1417,True,False,True,1,7.1417,1,2.0969990034181696,Adult,Survived,3rd Class
1,3,28.0,1,1,22.3583,False,False,False,1,22.3583,3,3.1509523813392697,Adult,Survived,3rd Class
0,3,45.0,0,0,6.975,True,False,True,1,6.975,1,2.076311648670908,Middle-Aged,Did Not Survive,3rd Class
0,3,33.0,0,0,7.8958,True,False,False,1,7.8958,1,2.1855792552411137,Adult,Did Not Survive,3rd Class
0,3,20.0,0,0,7.05,True,False,True,1,7.05,1,2.085672091430472,Adult,Did Not Survive,3rd Class
0,3,47.0,1,0,14.5,False,False,True,1,14.5,2,2.740840023925201,Middle-Aged,Did Not Survive,3rd Class
0,2,25.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Did Not Survive,2nd Class
0,2,23.0,0,0,15.0458,True,False,False,2,7.5229,1,2.775447133088262,Adult,Did Not Survive,2nd Class
1,1,19.0,0,2,26.2833,False,False,True,3,8.7611,3,3.3062747934011893,Adult,Survived,1st Class
0,1,37.0,1,0,53.1,True,False,True,3,17.7,2,3.9908341858524357,Middle-Aged,Did Not Survive,1st Class
0,3,16.0,0,0,9.2167,True,False,True,1,9.2167,1,2.3240236363515288,Youth,Did Not Survive,3rd Class
0,1,24.0,0,0,79.2,True,False,False,3,26.400000000000002,1,4.384523514872469,Adult,Did Not Survive,1st Class
0,3,28.0,0,2,15.2458,False,False,False,1,15.2458,3,2.7878344138303452,Adult,Did Not Survive,3rd Class
1,3,22.0,0,0,7.75,False,False,True,1,7.75,1,2.169053700369523,Adult,Survived,3rd Class
1,3,24.0,1,0,15.85,False,False,True,1,15.85,2,2.8243506567983707,Adult,Survived,3rd Class
0,3,19.0,0,0,6.75,True,True,False,1,6.75,1,2.0476928433652555,Adult,Did Not Survive,3rd Class
0,2,18.0,0,0,11.5,True,False,True,2,5.75,1,2.5257286443082556,Youth,Did Not Survive,2nd Class
0,2,19.0,1,1,36.75,True,False,True,2,18.375,3,3.6309854756950335,Adult,Did Not Survive,2nd Class
1,3,27.0,0,0,7.7958,True,False,True,1,7.7958,1,2.174274334826008,Adult,Survived,3rd Class
0,3,9.0,2,2,34.375,False,False,True,1,34.375,5,3.5660053559634015,Child,Did Not Survive,3rd Class
0,2,36.5,0,2,26.0,True,False,True,2,13.0,3,3.295836866004329,Middle-Aged,Did Not Survive,2nd Class
0,2,42.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Middle-Aged,Did Not Survive,2nd Class
0,2,51.0,0,0,12.525,True,False,True,2,6.2625,1,2.6045398247325453,Middle-Aged,Did Not Survive,2nd Class
1,1,22.0,1,0,66.6,False,False,True,3,22.2,2,4.213607983048918,Adult,Survived,1st Class
0,3,55.5,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Middle-Aged,Did Not Survive,3rd Class
0,3,40.5,0,2,14.5,True,False,True,1,14.5,3,2.740840023925201,Middle-Aged,Did Not Survive,3rd Class
0,3,28.0,0,0,7.3125,True,False,True,1,7.3125,1,2.1177604059819726,Adult,Did Not Survive,3rd Class
0,1,51.0,0,1,61.3792,True,False,False,3,20.459733333333332,2,4.133231886474144,Middle-Aged,Did Not Survive,1st Class
1,3,16.0,0,0,7.7333,False,True,False,1,7.7333,1,2.167143305297764,Youth,Survived,3rd Class
0,3,30.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Adult,Did Not Survive,3rd Class
0,3,28.0,0,0,8.6625,True,False,True,1,8.6625,1,2.2682524139135403,Adult,Did Not Survive,3rd Class
0,3,28.0,8,2,69.55,True,False,True,1,69.55,11,4.256321678298823,Adult,Did Not Survive,3rd Class
0,3,44.0,0,1,16.1,True,False,True,1,16.1,2,2.8390784635086144,Middle-Aged,Did Not Survive,3rd Class
1,2,40.0,0,0,15.75,False,False,True,2,7.875,1,2.8183982582710754,Middle-Aged,Survived,2nd Class
0,3,26.0,0,0,7.775,True,False,True,1,7.775,1,2.1719067693519296,Adult,Did Not Survive,3rd Class
0,3,17.0,0,0,8.6625,True,False,True,1,8.6625,1,2.2682524139135403,Youth,Did Not Survive,3rd Class
0,3,1.0,4,1,39.6875,True,False,True,1,39.6875,6,3.705920919968788,Child,Did Not Survive,3rd Class
1,3,9.0,0,2,20.525,True,False,True,1,20.525,3,3.0692150503137943,Child,Survived,3rd Class
1,1,28.0,0,1,55.0,False,False,True,3,18.333333333333332,2,4.02535169073515,Adult,Survived,1st Class
0,3,45.0,1,4,27.9,False,False,True,1,27.9,6,3.3638415951183864,Middle-Aged,Did Not Survive,3rd Class
0,1,28.0,0,0,25.925,True,False,True,3,8.641666666666667,1,3.2930552230424524,Adult,Did Not Survive,1st Class
0,3,28.0,0,0,56.4958,True,False,True,1,56.4958,1,4.051711901657239,Adult,Did Not Survive,3rd Class
0,1,61.0,0,0,33.5,True,False,True,3,11.166666666666666,1,3.5409593240373143,Senior,Did Not Survive,1st Class
0,3,4.0,4,1,29.125,True,True,False,1,29.125,6,3.405355391810819,Child,Did Not Survive,3rd Class
1,3,1.0,1,1,11.1333,False,False,True,1,11.1333,3,2.4959537387180646,Child,Survived,3rd Class
0,1,56.0,0,0,30.6958,True,False,False,3,10.231933333333332,1,3.4561841799918147,Middle-Aged,Did Not Survive,1st Class
0,3,18.0,1,1,7.8542,True,False,True,1,7.8542,3,2.180891922715322,Youth,Did Not Survive,3rd Class
0,3,28.0,3,1,25.4667,True,False,True,1,25.4667,5,3.275887339030031,Adult,Did Not Survive,3rd Class
0,1,50.0,0,0,28.7125,False,False,False,3,9.570833333333333,1,3.391567832686312,Middle-Aged,Did Not Survive,1st Class
0,2,30.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Did Not Survive,2nd Class
0,3,36.0,0,0,0.0,True,False,True,1,0.0,1,0.0,Middle-Aged,Did Not Survive,3rd Class
0,3,28.0,8,2,69.55,False,False,True,1,69.55,11,4.256321678298823,Adult,Did Not Survive,3rd Class
0,2,28.0,0,0,15.05,True,False,False,2,7.525,1,2.775708849576025,Adult,Did Not Survive,2nd Class
0,3,9.0,4,2,31.3875,True,False,True,1,31.3875,7,3.4777725458882283,Child,Did Not Survive,3rd Class
1,2,1.0,2,1,39.0,True,False,True,2,19.5,4,3.6888794541139363,Child,Survived,2nd Class
1,3,4.0,0,2,22.025,False,False,True,1,22.025,3,3.1365805821413706,Child,Survived,3rd Class
0,1,28.0,0,0,50.0,True,False,True,3,16.666666666666668,1,3.9318256327243257,Adult,Did Not Survive,1st Class
1,3,28.0,1,0,15.5,False,True,False,1,15.5,2,2.803360380906535,Adult,Survived,3rd Class
1,1,45.0,0,0,26.55,True,False,True,3,8.85,1,3.3160025355989236,Middle-Aged,Survived,1st Class
0,3,40.0,1,1,15.5,True,True,False,1,15.5,3,2.803360380906535,Middle-Aged,Did Not Survive,3rd Class
0,3,36.0,0,0,7.8958,True,False,True,1,7.8958,1,2.1855792552411137,Middle-Aged,Did Not Survive,3rd Class
1,2,32.0,0,0,13.0,False,False,True,2,6.5,1,2.639057329615259,Adult,Survived,2nd Class
0,2,19.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Did Not Survive,2nd Class
1,3,19.0,1,0,7.8542,False,False,True,1,7.8542,2,2.180891922715322,Adult,Survived,3rd Class
1,2,3.0,1,1,26.0,True,False,True,2,13.0,3,3.295836866004329,Child,Survived,2nd Class
1,1,44.0,0,0,27.7208,False,False,False,3,9.240266666666667,1,3.357621598945279,Middle-Aged,Survived,1st Class
1,1,58.0,0,0,146.5208,False,False,False,3,48.84026666666667,1,4.993969182787072,Middle-Aged,Survived,1st Class
0,3,42.0,0,1,8.4042,True,False,True,1,8.4042,2,2.241156397997397,Middle-Aged,Did Not Survive,3rd Class
0,2,24.0,0,0,13.0,False,False,True,2,6.5,1,2.639057329615259,Adult,Did Not Survive,2nd Class
0,3,28.0,0,0,9.5,True,False,True,1,9.5,1,2.3513752571634776,Adult,Did Not Survive,3rd Class
0,3,34.0,0,0,6.4958,True,False,True,1,6.4958,1,2.0143428636837015,Adult,Did Not Survive,3rd Class
0,3,45.5,0,0,7.225,True,False,False,1,7.225,1,2.1071782966514356,Middle-Aged,Did Not Survive,3rd Class
1,3,18.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Youth,Survived,3rd Class
0,3,2.0,0,1,10.4625,False,False,True,1,10.4625,2,2.4390808375825834,Child,Did Not Survive,3rd Class
0,3,32.0,1,0,15.85,True,False,True,1,15.85,2,2.8243506567983707,Adult,Did Not Survive,3rd Class
1,3,26.0,0,0,18.7875,True,False,False,1,18.7875,1,2.9850504252071306,Adult,Survived,3rd Class
1,3,16.0,0,0,7.75,False,True,False,1,7.75,1,2.169053700369523,Youth,Survived,3rd Class
1,1,40.0,0,0,31.0,True,False,False,3,10.333333333333334,1,3.4657359027997265,Middle-Aged,Survived,1st Class
0,3,24.0,0,0,7.05,True,False,True,1,7.05,1,2.085672091430472,Adult,Did Not Survive,3rd Class
1,2,35.0,0,0,21.0,False,False,True,2,10.5,1,3.091042453358316,Adult,Survived,2nd Class
0,3,22.0,0,0,7.25,True,False,True,1,7.25,1,2.1102132003465894,Adult,Did Not Survive,3rd Class
0,3,28.0,1,0,7.75,True,True,False,1,7.75,2,2.169053700369523,Adult,Did Not Survive,3rd Class
1,1,31.0,1,0,113.275,False,False,False,3,37.75833333333333,2,4.738607824217808,Adult,Survived,1st Class
1,3,27.0,0,0,7.925,False,False,True,1,7.925,1,2.188856327665703,Adult,Survived,3rd Class
0,2,42.0,1,0,27.0,True,False,True,2,13.5,2,3.332204510175204,Middle-Aged,Did Not Survive,2nd Class
1,1,32.0,0,0,76.2917,False,False,False,3,25.430566666666667,1,4.347586575960343,Adult,Survived,1st Class
0,2,30.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Did Not Survive,2nd Class
1,3,16.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Youth,Survived,3rd Class
0,2,27.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Adult,Did Not Survive,2nd Class
0,3,51.0,0,0,8.05,True,False,True,1,8.05,1,2.2027647577118348,Middle-Aged,Did Not Survive,3rd Class
1,1,38.0,1,0,90.0,True,False,True,3,30.0,2,4.51085950651685,Middle-Aged,Survived,1st Class
0,3,22.0,0,0,9.35,True,False,True,1,9.35,1,2.336986519711378,Adult,Did Not Survive,3rd Class
1,2,19.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Survived,2nd Class
0,3,20.5,0,0,7.25,True,False,True,1,7.25,1,2.1102132003465894,Adult,Did Not Survive,3rd Class
0,2,18.0,0,0,13.0,True,False,True,2,6.5,1,2.639057329615259,Youth,Did Not Survive,2nd Class
0,3,28.0,3,1,25.4667,False,False,True,1,25.4667,5,3.275887339030031,Adult,Did Not Survive,3rd Class
1,1,35.0,1,0,83.475,False,False,True,3,27.825,2,4.436455632600354,Adult,Survived,1st Class
0,3,29.0,0,0,7.775,True,False,True,1,7.775,1,2.1719067693519296,Adult,Did Not Survive,3rd Class
0,2,59.0,0,0,13.5,True,False,True,2,6.75,1,2.6741486494265287,Middle-Aged,Did Not Survive,2nd Class
1,3,5.0,4,2,31.3875,False,False,True,1,31.3875,7,3.4777725458882283,Child,Survived,3rd Class
0,2,24.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Did Not Survive,2nd Class
0,3,28.0,0,0,7.55,False,False,True,1,7.55,1,2.145931282948669,Adult,Did Not Survive,3rd Class
0,2,44.0,1,0,26.0,True,False,True,2,13.0,2,3.295836866004329,Middle-Aged,Did Not Survive,2nd Class
1,2,8.0,0,2,26.25,False,False,True,2,13.125,3,3.305053521109253,Child,Survived,2nd Class
0,2,19.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Did Not Survive,2nd Class
0,2,33.0,0,0,12.275,True,False,True,2,6.1375,1,2.5858825671280026,Adult,Did Not Survive,2nd Class
0,3,28.0,1,0,14.4542,False,False,False,1,14.4542,2,2.737880811060884,Adult,Did Not Survive,3rd Class
0,2,29.0,0,0,10.5,True,False,True,2,5.25,1,2.4423470353692043,Adult,Did Not Survive,2nd Class
0,3,22.0,0,0,7.125,True,False,True,1,7.125,1,2.094945728215801,Adult,Did Not Survive,3rd Class
0,3,30.0,0,0,7.225,True,False,False,1,7.225,1,2.1071782966514356,Adult,Did Not Survive,3rd Class
0,1,44.0,2,0,90.0,True,True,False,3,30.0,3,4.51085950651685,Middle-Aged,Did Not Survive,1st Class
0,3,25.0,0,0,7.775,False,False,True,1,7.775,1,2.1719067693519296,Adult,Did Not Survive,3rd Class
1,2,24.0,0,2,14.5,False,False,True,2,7.25,3,2.740840023925201,Adult,Survived,2nd Class
1,1,37.0,1,1,52.5542,True,False,True,3,17.518066666666666,3,3.9806942251907276,Middle-Aged,Survived,1st Class
0,2,54.0,1,0,26.0,True,False,True,2,13.0,2,3.295836866004329,Middle-Aged,Did Not Survive,2nd Class
0,3,28.0,0,0,7.25,True,False,True,1,7.25,1,2.1102132003465894,Adult,Did Not Survive,3rd Class
0,3,29.0,1,1,10.4625,False,False,True,1,10.4625,3,2.4390808375825834,Adult,Did Not Survive,3rd Class
0,1,62.0,0,0,26.55,True,False,True,3,8.85,1,3.3160025355989236,Senior,Did Not Survive,1st Class
0,3,30.0,1,0,16.1,True,False,True,1,16.1,2,2.8390784635086144,Adult,Did Not Survive,3rd Class
0,3,41.0,0,2,20.2125,False,False,True,1,20.2125,3,3.0545906305603445,Middle-Aged,Did Not Survive,3rd Class
1,3,29.0,0,2,15.2458,False,False,False,1,15.2458,3,2.7878344138303452,Adult,Survived,3rd Class
1,1,28.0,0,0,79.2,False,False,False,3,26.400000000000002,1,4.384523514872469,Adult,Survived,1st Class
1,1,30.0,0,0,86.5,False,False,True,3,28.833333333333332,1,4.471638793363569,Adult,Survived,1st Class
1,1,35.0,0,0,262.375,False,False,False,3,87.45833333333333,1,5.5735788721243535,Adult,Survived,1st Class
1,2,50.0,0,1,26.0,False,False,True,2,13.0,2,3.295836866004329,Middle-Aged,Survived,2nd Class
