pclass,sex,age,sibsp,parch,fare,embarked,survived
1,male,11.9,0,0,5.0,Q,1
3,male,39.4,1,1,1.0,Q,1
2,male,28.4,1,2,9.74,S,0
3,male,53.9,1,0,2.98,S,0
1,male,1.0,0,0,197.67,C,0
3,female,28.4,0,0,6.43,S,0
3,male,18.6,2,0,19.51,S,0
3,male,28.4,0,1,20.97,S,1
3,male,34.1,0,0,5.78,Q,0
3,female,26.0,0,2,8.86,S,0
1,female,25.4,0,0,14.62,S,1
1,male,41.4,0,1,16.51,C,0
2,female,12.5,1,0,8.27,Q,0
2,male,46.8,0,2,37.99,S,0
1,male,39.1,0,1,24.33,C,1
1,male,53.4,0,1,9.37,C,1
1,male,28.4,0,0,30.71,C,0
3,male,33.9,0,0,12.98,S,0
1,female,51.4,1,1,66.85,C,1
2,male,35.3,1,0,29.52,S,0
3,female,34.3,1,1,10.66,S,0
1,male,37.7,0,0,165.51,C,1
3,male,26.7,1,1,6.1,S,0
2,female,45.2,0,1,5.0,S,0
3,female,32.0,0,4,4.96,S,0
2,female,44.1,0,2,24.15,S,1
1,male,26.0,0,0,196.55,Q,0
3,male,28.4,0,0,10.5,S,0
3,female,28.4,0,0,10.86,S,1
3,male,9.2,1,3,7.88,C,1
3,male,24.3,4,0,28.36,S,1
3,male,31.5,0,0,4.08,S,0
1,female,43.0,1,0,58.54,C,1
1,male,28.4,3,1,57.51,S,1
2,male,34.2,0,0,34.81,S,1
3,male,28.4,0,0,17.98,C,0
3,male,38.8,0,0,7.02,S,0
3,female,21.4,1,0,11.62,Q,0
3,male,10.6,2,0,9.84,S,0
1,female,47.5,0,0,5.0,S,1
2,female,60.4,0,0,30.38,Q,0
3,male,17.7,3,0,8.67,S,0
1,male,76.1,1,1,25.43,S,0
1,female,29.3,0,0,76.54,C,0
2,male,10.2,0,0,31.49,S,1
2,female,39.1,0,0,11.43,Q,1
3,female,28.4,0,0,4.26,S,0
3,male,28.4,0,1,18.35,S,0
1,male,50.0,0,1,95.26,C,0
1,female,29.6,0,0,10.28,C,1
3,female,35.9,1,4,1.0,C,0
1,male,28.4,0,0,120.98,C,1
2,male,52.5,0,3,9.83,C,0
3,female,43.3,1,0,1.0,S,0
3,male,28.4,0,0,6.75,S,0
3,female,45.4,1,1,12.59,S,0
3,male,28.4,1,3,4.65,S,1
3,male,1.0,0,0,15.8,C,0
3,male,22.2,2,2,1.44,S,0
3,female,11.2,0,5,11.28,S,0
1,female,28.4,3,0,39.45,S,0
3,female,24.5,2,2,6.33,S,0
1,female,28.4,0,0,44.66,S,1
3,male,39.6,0,0,2.22,S,1
1,male,28.5,0,0,21.08,C,1
1,male,28.4,0,0,15.07,S,1
3,male,19.5,1,0,12.75,S,1
1,male,28.4,1,0,101.57,C,1
3,male,43.0,1,3,4.3,S,0
3,female,32.3,1,1,3.46,S,1
3,male,42.7,3,3,1.0,S,0
3,female,13.4,0,0,1.0,Q,1
3,male,24.5,0,0,5.4,S,1
2,female,17.1,1,0,7.36,Q,1
3,male,23.9,4,1,14.79,S,0
2,male,36.5,0,2,23.64,S,0
1,male,26.1,2,0,18.5,C,1
3,male,5.1,0,0,10.42,C,0
3,male,22.2,3,0,9.37,Q,1
3,male,14.5,2,0,1.0,S,0
2,male,35.8,1,0,15.96,S,0
2,female,32.4,0,0,5.0,S,1
1,male,22.0,1,0,38.65,C,1
3,male,28.4,1,0,6.77,S,0
2,male,52.3,0,0,11.4,S,0
3,female,29.6,0,0,19.98,S,0
3,male,1.0,0,0,8.5,C,0
3,female,36.7,1,0,7.51,S,0
3,female,28.4,1,0,1.0,S,0
1,male,28.4,1,0,20.27,S,1
3,male,11.8,3,0,1.13,S,1
3,female,20.0,2,0,26.39,S,0
3,male,24.2,1,0,6.64,S,1
3,male,6.3,0,0,3.96,S,1
3,male,16.7,0,0,8.61,Q,0
3,male,23.1,0,0,37.92,S,0
3,male,35.5,1,0,17.12,S,0
1,female,23.9,1,0,123.47,S,1
3,male,29.3,0,0,15.21,C,1
1,male,56.3,0,0,28.11,S,1
3,male,13.2,1,0,8.42,S,1
3,male,16.5,0,1,7.47,S,0
3,female,32.0,0,0,2.45,S,0
1,male,28.4,0,2,141.25,Q,1
2,female,53.2,1,0,31.96,S,0
3,female,25.5,0,0,8.4,S,0
1,male,28.4,0,1,28.23,C,0
3,male,6.8,0,2,3.32,S,0
3,female,23.1,2,1,1.0,S,0
3,female,30.8,1,0,7.24,C,0
1,male,47.3,0,0,103.21,C,0
1,female,48.6,0,1,220.95,Q,1
1,male,49.4,0,2,27.09,C,1
3,male,8.1,1,0,17.69,S,0
3,male,25.6,1,0,2.14,Q,0
1,female,27.2,0,0,64.03,S,1
3,male,13.0,3,0,11.76,S,0
3,male,28.4,1,0,19.54,C,0
1,female,25.5,0,1,25.03,C,0
3,male,33.8,1,0,17.25,S,1
1,male,38.8,2,0,43.41,S,1
3,male,1.0,1,1,10.93,S,0
2,male,26.9,2,0,35.79,S,1
2,female,28.4,0,2,40.69,Q,0
3,female,26.7,0,0,9.68,S,0
3,male,32.2,0,3,11.81,S,0
3,male,27.7,0,2,34.03,S,0
3,male,28.4,0,0,4.36,C,0
3,male,2.4,1,1,12.39,S,1
2,male,16.3,1,0,20.35,S,0
3,male,1.0,3,0,8.47,S,0
2,male,63.6,1,0,6.24,S,0
3,male,22.1,0,0,14.5,S,0
1,female,49.6,0,0,35.03,S,1
3,male,40.8,0,0,43.72,S,0
3,female,10.9,0,0,36.67,S,0
3,male,28.4,1,0,5.79,S,0
3,male,19.6,1,2,3.44,S,0
1,male,35.2,0,0,107.03,C,1
1,female,45.7,0,0,43.77,C,1
3,male,29.7,0,0,1.0,C,1
3,male,27.7,3,1,20.38,C,0
3,male,30.4,0,0,15.04,S,0
2,male,41.8,0,1,24.92,S,0
3,female,30.5,0,0,5.46,S,0
2,female,35.6,0,0,7.79,S,1
1,female,27.9,0,0,253.58799999999934,S,0
1,male,28.4,0,2,125.13,C,1
3,female,31.3,1,0,6.3,S,0
3,female,18.9,5,0,5.9,S,0
1,male,28.4,0,0,253.58799999999934,C,1
3,male,33.7,0,0,8.73,S,0
1,female,26.4,0,0,69.42,S,0
3,male,25.4,1,0,34.1,S,1
2,female,28.4,0,1,5.0,S,0
2,female,22.0,1,0,27.01,S,1
3,male,21.7,0,0,7.73,C,0
1,male,67.9,0,0,62.03,C,0
1,female,41.2,0,0,253.58799999999934,Q,0
1,male,47.7,1,0,175.68,C,1
3,male,39.2,0,0,5.88,S,0
2,female,28.4,0,1,27.01,C,0
3,male,28.4,1,1,26.51,S,0
3,female,39.2,0,0,18.1,C,0
1,male,31.1,2,0,5.0,S,0
3,male,27.5,3,0,4.88,S,0
3,female,24.4,0,4,4.91,S,0
3,male,20.7,0,4,3.48,C,0
3,female,21.6,0,0,4.46,S,1
3,male,12.1,4,0,3.73,Q,0
2,male,17.5,0,0,29.46,C,0
3,female,21.0,1,1,3.87,S,1
3,female,9.6,0,0,1.0,S,0
3,male,20.1,0,0,2.98,C,0
3,male,9.9,0,0,6.5,C,0
3,male,33.6,0,0,31.73,S,0
3,female,20.0,2,1,1.0,S,0
3,male,28.4,1,0,16.1,S,0
2,male,27.8,0,0,82.07,Q,1
3,male,21.0,0,1,9.07,S,1
2,male,17.0,1,0,15.39,S,1
3,female,12.5,0,0,20.23,S,1
3,female,30.8,1,1,1.0,S,0
3,female,22.9,1,0,6.38,C,0
1,female,24.3,0,2,5.0,S,1
2,male,28.4,0,0,11.52,S,1
3,female,2.7,1,0,22.15,S,1
3,male,30.4,0,0,7.16,C,0
3,male,34.1,0,0,1.34,S,1
2,male,25.5,1,0,14.94,C,1
3,male,12.1,2,0,4.35,C,0
3,male,34.3,1,1,1.43,C,1
2,male,3.8,0,0,11.5,S,1
3,male,23.3,1,0,5.91,C,1
3,female,37.5,0,1,12.18,S,0
2,male,36.8,0,0,5.0,S,1
3,female,27.7,0,0,40.95,S,0
3,female,4.6,1,0,27.84,S,0
3,female,12.4,1,0,24.28,S,0
2,male,34.1,1,1,14.24,C,1
