pclass,age,sibsp,parch,fare,survived,sex_male,embarked_Q,embarked_S,pclass_ordinal,fare_per_class_unit,family_size,class_fare_interaction,fare_log,age_group,survived_label,class_label,age_zscore,fare_zscore,is_alone,high_fare,fare_quartile,class_survival_rate
1,54.3,0,0,30.75,0,True,False,False,3,10.25,1,0.0790026928433592,3.457892725338701,Middle-Aged,Did Not Survive,1st Class,2.105,0.0263,1,1,Q4_high,0.6343
2,28.4,0,2,5.0,0,True,False,True,2,2.5,3,-1.0307483850241792,1.791759469228055,Adult,Did Not Survive,2nd Class,-0.0298,-0.5151,0,0,Q1_low,0.4615
3,31.4,0,0,8.75,0,False,False,True,1,8.75,1,-0.4364846162800688,2.277267285009756,Adult,Did Not Survive,3rd Class,0.2175,-0.4362,1,0,Q2_mid_low,0.2439
1,28.4,2,1,135.35,1,False,False,False,3,45.11666666666667,4,6.6804824319388585,4.9152251092915975,Adult,Survived,1st Class,-0.0298,2.2256,0,1,Q4_high,0.6343
3,19.6,3,2,8.59,1,True,False,True,1,8.59,6,-0.439850571532635,2.2607208888953467,Adult,Survived,3rd Class,-0.7551,-0.4396,0,0,Q2_mid_low,0.2439
3,11.7,0,1,31.91,0,True,False,True,1,31.91,2,0.0507374065288915,3.4937765629552486,Child,Did Not Survive,3rd Class,-1.4062,0.0507,0,1,Q4_high,0.2439
3,28.4,2,0,4.19,0,False,False,False,1,4.19,3,-0.5324143409782061,1.6467336971777973,Adult,Did Not Survive,3rd Class,-0.0298,-0.5321,0,0,Q1_low,0.2439
1,28.4,0,1,165.65,1,False,False,False,3,55.21666666666667,2,8.592765759803042,5.115895804753749,Adult,Survived,1st Class,-0.0298,2.8626,0,1,Q4_high,0.6343
3,28.4,5,0,5.3,0,False,True,False,1,5.3,6,-0.509063026413528,1.840549633397487,Adult,Did Not Survive,3rd Class,-0.0298,-0.5088,0,0,Q2_mid_low,0.2439
1,53.2,1,0,117.89,1,True,False,True,3,39.29666666666667,2,5.578552831129992,4.778198695870453,Middle-Aged,Survived,1st Class,2.0143,1.8585,0,1,Q4_high,0.6343
2,38.9,0,2,16.05,1,True,False,False,2,8.025,3,-0.5658258157634701,2.8361502037295256,Middle-Aged,Survived,2nd Class,0.8357,-0.2828,0,1,Q3_mid_high,0.4615
3,47.7,0,0,2.58,1,True,False,False,1,2.58,1,-0.5662842657071537,1.275362800412609,Middle-Aged,Survived,3rd Class,1.561,-0.566,1,0,Q1_low,0.2439
1,46.5,1,2,79.0,0,True,False,False,3,26.33333333333333,4,3.1241403353993613,4.382026634673881,Middle-Aged,Did Not Survive,1st Class,1.4621,1.0408,0,1,Q4_high,0.6343
3,28.4,0,2,10.39,0,True,False,True,1,10.39,3,-0.4019835749412651,2.432735777459091,Adult,Did Not Survive,3rd Class,-0.0298,-0.4018,0,0,Q2_mid_low,0.2439
2,28.4,0,0,9.44,0,True,True,False,2,4.72,1,-0.843937868506754,2.3456445824544927,Adult,Did Not Survive,2nd Class,-0.0298,-0.4217,1,0,Q2_mid_low,0.4615
1,41.1,0,1,158.51,1,False,False,True,3,52.836666666666666,2,8.142148500365739,5.072106616184357,Middle-Aged,Survived,1st Class,1.017,2.7125,0,1,Q4_high,0.6343
3,26.9,0,1,20.18,0,True,False,True,1,20.18,2,-0.1960291879248695,3.0530573401732606,Adult,Did Not Survive,3rd Class,-0.1534,-0.1959,0,1,Q3_mid_high,0.2439
1,48.0,1,1,64.63,0,True,False,True,3,21.543333333333333,3,2.2172257670360502,4.184032908485631,Middle-Aged,Did Not Survive,1st Class,1.5857,0.7387,0,1,Q4_high,0.6343
1,45.3,2,0,7.68,1,False,False,True,3,2.56,3,-1.3769833260948163,2.1610215286722587,Middle-Aged,Survived,1st Class,1.3632,-0.4587,0,0,Q2_mid_low,0.6343
3,33.0,3,0,17.18,0,False,False,True,1,17.18,4,-0.2591408489104861,2.900322088749333,Adult,Did Not Survive,3rd Class,0.3494,-0.259,0,1,Q3_mid_high,0.2439
3,30.5,1,1,10.33,0,False,False,False,1,10.33,3,-0.4032458081609774,2.427454075039915,Adult,Did Not Survive,3rd Class,0.1433,-0.403,0,0,Q2_mid_low,0.2439
1,60.2,0,0,5.41,0,False,False,False,3,1.8033333333333332,1,-1.5202467965321662,1.8578592709325787,Senior,Did Not Survive,1st Class,2.5913,-0.5065,1,0,Q2_mid_low,0.6343
3,21.6,1,5,1.0,1,True,True,False,1,1.0,7,-0.5995230738262451,0.6931471805599453,Adult,Survived,3rd Class,-0.5902,-0.5992,0,0,Q1_low,0.2439
3,33.3,4,3,2.77,1,True,False,True,1,2.77,8,-0.5622871938447314,1.3270750014599193,Adult,Survived,3rd Class,0.3741,-0.562,0,0,Q1_low,0.2439
3,28.4,0,0,1.21,0,True,False,True,1,1.21,1,-0.595105257557252,0.7929925155296614,Adult,Did Not Survive,3rd Class,-0.0298,-0.5948,1,0,Q1_low,0.2439
2,28.4,0,0,5.0,1,True,False,True,2,2.5,1,-1.0307483850241792,1.791759469228055,Adult,Survived,2nd Class,-0.0298,-0.5151,1,0,Q1_low,0.4615
1,28.4,0,0,131.42,1,False,False,False,3,43.806666666666665,1,6.432453604265384,4.8859786894967,Adult,Survived,1st Class,-0.0298,2.1429,1,1,Q4_high,0.6343
1,47.5,0,1,54.73,1,False,False,True,3,18.24333333333333,2,1.5924203232784455,4.020518601581445,Middle-Aged,Survived,1st Class,1.5445,0.5305,0,1,Q4_high,0.6343
2,28.4,0,2,7.7,0,False,False,True,2,3.85,3,-0.9171473952500694,2.1633230256605382,Adult,Did Not Survive,2nd Class,-0.0298,-0.4583,0,0,Q2_mid_low,0.4615
1,58.3,0,1,37.3,0,True,False,False,3,12.433333333333332,2,0.4923840722991479,3.6454498961866,Middle-Aged,Did Not Survive,1st Class,2.4347,0.164,0,1,Q4_high,0.6343
3,29.1,1,1,11.25,0,True,False,True,1,11.25,3,-0.3838915654587216,2.505525936990736,Adult,Did Not Survive,3rd Class,0.0279,-0.3837,0,0,Q2_mid_low,0.2439
3,39.7,3,0,21.57,0,False,False,True,1,21.57,4,-0.1667874516682004,3.1166215908294443,Middle-Aged,Did Not Survive,3rd Class,0.9016,-0.1667,0,1,Q3_mid_high,0.2439
3,5.0,0,4,3.12,0,True,False,False,1,3.12,5,-0.5549241667297428,1.415853163361435,Child,Did Not Survive,3rd Class,-1.9585,-0.5546,0,0,Q1_low,0.2439
2,28.4,0,0,7.45,0,True,False,True,2,3.725,1,-0.9276660054143387,2.134166441369082,Adult,Did Not Survive,2nd Class,-0.0298,-0.4636,1,0,Q2_mid_low,0.4615
3,28.4,0,0,17.51,0,True,False,True,1,17.51,1,-0.2521985662020682,2.9183111265854063,Adult,Did Not Survive,3rd Class,-0.0298,-0.2521,1,1,Q3_mid_high,0.2439
2,27.6,0,0,32.85,1,True,False,True,2,16.425,1,0.1410247872754361,3.521938999358284,Adult,Survived,2nd Class,-0.0957,0.0705,1,1,Q4_high,0.4615
3,27.3,0,0,10.45,0,True,False,True,1,10.45,1,-0.4007213417215527,2.4379897300002487,Adult,Did Not Survive,3rd Class,-0.1204,-0.4005,1,0,Q2_mid_low,0.2439
1,38.6,0,0,22.63,0,False,False,False,3,7.543333333333333,1,-0.4334639943598478,3.1625170911988163,Middle-Aged,Did Not Survive,1st Class,0.8109,-0.1444,1,1,Q3_mid_high,0.6343
2,31.0,0,0,8.36,1,False,True,False,2,4.18,1,-0.8893782644163981,2.2364452904895007,Adult,Survived,2nd Class,0.1845,-0.4444,1,0,Q2_mid_low,0.4615
1,28.4,0,0,24.06,0,False,False,False,3,8.02,1,-0.3432143191504161,3.221272949467922,Adult,Did Not Survive,1st Class,-0.0298,-0.1143,1,1,Q3_mid_high,0.6343
1,45.2,1,0,22.52,0,True,False,False,3,7.506666666666667,2,-0.4404062770682656,3.1578511230304263,Middle-Aged,Did Not Survive,1st Class,1.3549,-0.1467,0,1,Q3_mid_high,0.6343
3,36.4,0,2,11.29,0,False,False,True,1,11.29,3,-0.3830500766455801,2.5087859235779435,Middle-Aged,Did Not Survive,3rd Class,0.6296,-0.3828,0,0,Q2_mid_low,0.2439
3,14.4,0,0,1.0,0,False,False,True,1,1.0,1,-0.5995230738262451,0.6931471805599453,Youth,Did Not Survive,3rd Class,-1.1837,-0.5992,1,0,Q1_low,0.2439
3,17.9,2,1,37.56,1,True,False,True,1,37.56,4,0.1695977013851362,3.652215469742345,Youth,Survived,3rd Class,-0.8952,0.1695,0,1,Q4_high,0.2439
1,37.8,0,0,76.03,1,True,False,False,3,25.343333333333334,1,2.93669870227208,4.344194956364874,Middle-Aged,Survived,1st Class,0.745,0.9783,1,1,Q4_high,0.6343
1,42.5,0,0,71.9,0,False,False,True,3,23.96666666666667,1,2.676047542401484,4.289088639014612,Middle-Aged,Did Not Survive,1st Class,1.1324,0.8915,1,1,Q4_high,0.6343
3,28.4,0,3,28.64,0,False,False,True,1,28.64,4,-0.0180543039454306,3.389124800427886,Adult,Did Not Survive,3rd Class,-0.0298,-0.018,0,1,Q3_mid_high,0.2439
1,68.0,1,1,128.52,0,True,False,True,3,42.84,3,6.249429787407097,4.86383530936938,Senior,Did Not Survive,1st Class,3.2342,2.082,0,1,Q4_high,0.6343
3,42.7,1,1,3.63,0,True,False,True,1,3.63,3,-0.544195184362188,1.5325568680981427,Middle-Aged,Did Not Survive,3rd Class,1.1489,-0.5439,0,0,Q1_low,0.2439
3,43.3,2,0,9.55,0,True,False,True,1,9.55,3,-0.4196548400172377,2.356125859922076,Middle-Aged,Did Not Survive,3rd Class,1.1983,-0.4194,0,0,Q2_mid_low,0.2439
3,2.1,0,0,19.19,0,True,False,True,1,19.19,1,-0.2168560360501229,3.005187432324746,Child,Did Not Survive,3rd Class,-2.1975,-0.2167,1,1,Q3_mid_high,0.2439
2,47.2,0,1,25.56,1,True,False,True,2,12.78,2,-0.1656978851146607,3.279406324608233,Middle-Aged,Survived,2nd Class,1.5198,-0.0828,0,1,Q3_mid_high,0.4615
2,30.0,0,1,5.0,0,False,False,True,2,2.5,2,-1.0307483850241792,1.791759469228055,Adult,Did Not Survive,2nd Class,0.1021,-0.5151,0,0,Q1_low,0.4615
3,16.4,0,0,5.0,0,True,False,True,1,5.0,1,-0.5153741925120896,1.791759469228055,Youth,Did Not Survive,3rd Class,-1.0188,-0.5151,1,0,Q1_low,0.2439
3,16.5,2,3,18.25,0,True,False,True,1,18.25,6,-0.2366310231589495,2.9575110607337933,Youth,Did Not Survive,3rd Class,-1.0106,-0.2365,0,1,Q3_mid_high,0.2439
3,26.8,0,0,2.81,0,True,False,True,1,2.81,1,-0.5614457050315899,1.3376291891386096,Adult,Did Not Survive,3rd Class,-0.1616,-0.5611,1,0,Q1_low,0.2439
3,28.4,1,0,46.34,1,True,False,True,1,46.34,2,0.3543044958697075,3.857355604085838,Adult,Survived,3rd Class,-0.0298,0.3541,0,1,Q4_high,0.2439
3,45.1,1,0,1.35,1,True,False,True,1,1.35,2,-0.5921600467112565,0.8544153281560676,Middle-Aged,Survived,3rd Class,1.3467,-0.5918,0,0,Q1_low,0.2439
3,16.0,0,0,15.85,0,False,False,True,1,15.85,1,-0.2871203519474428,2.8243506567983707,Youth,Did Not Survive,3rd Class,-1.0518,-0.287,1,1,Q3_mid_high,0.2439
2,38.9,2,0,27.48,0,False,False,True,2,13.74,3,-0.0849149590530714,3.349202086543775,Middle-Aged,Did Not Survive,2nd Class,0.8357,-0.0424,0,1,Q3_mid_high,0.4615
2,40.7,0,0,58.26,1,True,False,True,2,29.13,1,1.2101363243717818,4.081934542145419,Middle-Aged,Survived,2nd Class,0.984,0.6047,1,1,Q4_high,0.4615
2,18.1,2,0,48.29,1,False,True,False,2,24.145,3,0.7906541510207166,3.8977212207172864,Adult,Survived,2nd Class,-0.8787,0.3951,0,1,Q4_high,0.4615
1,28.0,0,0,104.21,0,True,False,False,3,34.736666666666665,1,4.715185308846756,4.655958352820196,Adult,Did Not Survive,1st Class,-0.0627,1.5708,1,1,Q4_high,0.6343
2,22.4,0,0,27.47,0,False,False,True,2,13.735,1,-0.0853357034596422,3.3488509012899463,Adult,Did Not Survive,2nd Class,-0.5243,-0.0426,1,1,Q3_mid_high,0.4615
3,14.3,2,1,3.31,0,True,False,True,1,3.31,4,-0.5509270948673204,1.4609379041156565,Youth,Did Not Survive,3rd Class,-1.1919,-0.5506,0,0,Q1_low,0.2439
1,26.4,0,1,74.87,1,False,False,True,3,24.956666666666667,2,2.8634891755287653,4.329021349349984,Adult,Survived,1st Class,-0.1946,0.954,0,1,Q4_high,0.6343
3,33.2,0,0,3.54,0,False,False,True,1,3.54,1,-0.5460885341917564,1.5129270120532563,Adult,Did Not Survive,3rd Class,0.3659,-0.5458,1,0,Q1_low,0.2439
1,40.6,0,2,19.9,1,True,True,False,3,6.633333333333333,3,-0.6057588288505813,3.039749158970765,Middle-Aged,Survived,1st Class,0.9758,-0.2018,0,1,Q3_mid_high,0.6343
2,15.6,0,0,10.42,0,False,False,True,2,5.21,1,-0.802704916662818,2.435366204227864,Youth,Did Not Survive,2nd Class,-1.0848,-0.4011,1,0,Q2_mid_low,0.4615
3,22.9,2,2,1.34,0,True,False,True,1,1.34,5,-0.5923704189145419,0.8501509293696101,Adult,Did Not Survive,3rd Class,-0.4831,-0.592,0,0,Q1_low,0.2439
2,31.7,1,1,7.7,0,True,False,True,2,3.85,3,-0.9171473952500694,2.1633230256605382,Adult,Did Not Survive,2nd Class,0.2422,-0.4583,0,0,Q2_mid_low,0.4615
1,49.1,0,0,169.04,1,False,False,False,3,56.34666666666666,1,8.806714290544281,5.13603370349059,Middle-Aged,Survived,1st Class,1.6764,2.9339,1,1,Q4_high,0.6343
3,18.7,0,0,3.32,0,False,True,False,1,3.32,1,-0.5507167226640349,1.463255402256019,Adult,Did Not Survive,3rd Class,-0.8293,-0.5504,1,0,Q1_low,0.2439
3,17.1,0,0,19.91,0,False,False,True,1,19.91,1,-0.201709237413575,3.0402275134405423,Youth,Did Not Survive,3rd Class,-0.9612,-0.2016,1,1,Q3_mid_high,0.2439
2,28.4,0,1,5.0,1,False,False,True,2,2.5,2,-1.0307483850241792,1.791759469228055,Adult,Survived,2nd Class,-0.0298,-0.5151,0,0,Q1_low,0.4615
1,28.7,0,1,35.82,1,False,False,False,3,11.94,2,0.3989788140404355,3.606041175804932,Adult,Survived,1st Class,-0.005,0.1329,0,1,Q4_high,0.6343
2,21.1,0,0,6.97,1,True,False,True,2,3.485,1,-0.9478617369297362,2.075684492802124,Adult,Survived,2nd Class,-0.6315,-0.4737,1,0,Q2_mid_low,0.4615
3,32.3,0,0,5.02,0,True,False,True,1,5.02,1,-0.5149534481055189,1.7950872593207297,Adult,Did Not Survive,3rd Class,0.2917,-0.5147,1,0,Q2_mid_low,0.2439
2,5.2,0,0,5.0,0,False,False,True,2,2.5,1,-1.0307483850241792,1.791759469228055,Child,Did Not Survive,2nd Class,-1.942,-0.5151,1,0,Q1_low,0.4615
2,28.6,2,0,33.49,0,True,False,False,2,16.745,3,0.1679524292959659,3.540669426948749,Adult,Did Not Survive,2nd Class,-0.0133,0.0839,0,1,Q4_high,0.4615
2,19.0,0,0,74.42,1,True,True,False,2,37.21,1,1.890059285390158,4.323072491830211,Adult,Survived,2nd Class,-0.8045,0.9445,1,1,Q4_high,0.4615
3,48.3,0,0,14.27,0,False,False,True,1,14.27,1,-0.3203591600665342,2.725890119230541,Middle-Aged,Did Not Survive,3rd Class,1.6105,-0.3202,1,1,Q3_mid_high,0.2439
3,40.9,0,0,1.87,0,False,False,True,1,1.87,1,-0.5812206921404163,1.0543120297715298,Middle-Aged,Did Not Survive,3rd Class,1.0005,-0.5809,1,0,Q1_low,0.2439
2,24.9,0,1,5.0,0,True,False,False,2,2.5,2,-1.0307483850241792,1.791759469228055,Adult,Did Not Survive,2nd Class,-0.3183,-0.5151,0,0,Q1_low,0.4615
3,12.7,1,0,1.12,1,True,False,True,1,1.12,2,-0.5969986073868204,0.7514160886839212,Youth,Survived,3rd Class,-1.3238,-0.5967,0,0,Q1_low,0.2439
3,28.1,0,0,7.62,0,False,False,True,1,7.62,1,-0.4602566752513177,2.154085084675602,Adult,Did Not Survive,3rd Class,-0.0545,-0.46,1,0,Q2_mid_low,0.2439
3,28.4,0,0,4.2,1,True,False,True,1,4.2,1,-0.5322039687749207,1.6486586255873816,Adult,Survived,3rd Class,-0.0298,-0.5319,1,0,Q1_low,0.2439
3,28.4,1,0,4.28,0,True,False,True,1,4.28,2,-0.5305209911486376,1.6639260977181702,Adult,Did Not Survive,3rd Class,-0.0298,-0.5302,0,0,Q1_low,0.2439
3,1.6,1,1,4.27,0,True,False,True,1,4.27,3,-0.5307313633519231,1.6620303625532709,Child,Did Not Survive,3rd Class,-2.2387,-0.5304,0,0,Q1_low,0.2439
2,11.7,1,0,5.0,0,False,False,True,2,2.5,2,-1.0307483850241792,1.791759469228055,Child,Did Not Survive,2nd Class,-1.4062,-0.5151,0,0,Q1_low,0.4615
1,45.0,0,0,42.0,0,True,False,True,3,14.0,1,0.7890088789315461,3.7612001156935615,Middle-Aged,Did Not Survive,1st Class,1.3385,0.2629,1,1,Q4_high,0.6343
3,20.5,0,4,18.56,0,True,False,True,1,18.56,5,-0.2301094848571025,2.9734866646066718,Adult,Did Not Survive,3rd Class,-0.6809,-0.23,0,1,Q3_mid_high,0.2439
2,15.0,0,0,41.15,0,False,False,True,2,20.575,1,0.4902426447291814,3.741234684447865,Youth,Did Not Survive,2nd Class,-1.1342,0.245,1,1,Q4_high,0.4615
3,22.8,2,3,6.48,1,False,True,False,1,6.48,6,-0.4842391064258521,2.012232791986386,Adult,Survived,3rd Class,-0.4913,-0.484,0,0,Q2_mid_low,0.2439
3,36.5,1,0,2.04,0,False,False,True,1,2.04,2,-0.5776443646845647,1.1118575154181305,Middle-Aged,Did Not Survive,3rd Class,0.6379,-0.5773,0,0,Q1_low,0.2439
3,45.7,0,0,6.55,0,True,False,True,1,6.55,1,-0.4827665010028544,2.021547563260933,Middle-Aged,Did Not Survive,3rd Class,1.3962,-0.4825,1,0,Q2_mid_low,0.2439
3,38.6,2,0,19.56,0,True,False,True,1,19.56,3,-0.2090722645285636,3.0233474405869645,Middle-Aged,Did Not Survive,3rd Class,0.8109,-0.209,0,1,Q3_mid_high,0.2439
1,44.2,0,1,97.82,0,True,True,False,3,32.60666666666666,2,4.311901795148666,4.593300013417604,Middle-Aged,Did Not Survive,1st Class,1.2725,1.4365,0,1,Q4_high,0.6343
2,23.5,0,0,7.11,0,True,True,False,2,3.555,1,-0.9419713152377452,2.093097868127322,Adult,Did Not Survive,2nd Class,-0.4336,-0.4707,1,0,Q2_mid_low,0.4615
2,30.2,0,0,66.25,1,True,False,True,2,33.125,1,1.5463111052218328,4.208417018481948,Adult,Survived,2nd Class,0.1186,0.7727,1,1,Q4_high,0.4615
3,45.0,1,0,37.13,0,False,False,True,1,37.13,2,0.1605516966438644,3.641001373869472,Middle-Aged,Did Not Survive,3rd Class,1.3385,0.1605,0,1,Q4_high,0.2439
3,28.4,0,2,21.84,0,False,False,True,1,21.84,3,-0.1611074021794949,3.128513384787809,Adult,Did Not Survive,3rd Class,-0.0298,-0.161,0,1,Q3_mid_high,0.2439
2,23.4,2,0,5.0,1,True,True,False,2,2.5,3,-1.0307483850241792,1.791759469228055,Adult,Survived,2nd Class,-0.4419,-0.5151,0,0,Q1_low,0.4615
2,15.7,0,0,38.04,0,True,False,True,2,19.02,1,0.3593911342856696,3.664586761544892,Youth,Did Not Survive,2nd Class,-1.0765,0.1796,1,1,Q4_high,0.4615
1,28.4,0,1,199.42,0,True,False,False,3,66.47333333333333,2,10.724046551287316,5.300415164630183,Adult,Did Not Survive,1st Class,-0.0298,3.5727,0,1,Q4_high,0.6343
3,35.0,1,4,1.0,0,True,False,True,1,1.0,6,-0.5995230738262451,0.6931471805599453,Adult,Did Not Survive,3rd Class,0.5142,-0.5992,0,0,Q1_low,0.2439
3,20.3,0,1,1.0,0,False,False,True,1,1.0,2,-0.5995230738262451,0.6931471805599453,Adult,Did Not Survive,3rd Class,-0.6974,-0.5992,0,0,Q1_low,0.2439
3,23.7,2,0,7.01,0,True,False,False,1,7.01,3,-0.4730893796517265,2.080690761080268,Adult,Did Not Survive,3rd Class,-0.4172,-0.4728,0,0,Q2_mid_low,0.2439
1,30.2,0,1,41.12,1,False,False,False,3,13.706666666666663,2,0.7334706172642035,3.740522687265775,Adult,Survived,1st Class,0.1186,0.2444,0,1,Q4_high,0.6343
3,52.4,0,0,3.01,1,True,False,True,1,3.01,1,-0.557238260965882,1.3887912413184778,Middle-Aged,Survived,3rd Class,1.9484,-0.5569,1,0,Q1_low,0.2439
3,16.9,0,0,3.27,0,False,False,False,1,3.27,1,-0.5517685836804619,1.4516138272405332,Youth,Did Not Survive,3rd Class,-0.9776,-0.5515,1,0,Q1_low,0.2439
2,13.9,0,0,48.6,0,False,False,True,2,24.3,1,0.8036972276244108,3.903990833730882,Youth,Did Not Survive,2nd Class,-1.2249,0.4016,1,1,Q4_high,0.4615
1,28.4,1,2,6.25,0,True,False,True,3,2.083333333333333,4,-1.467233001304248,1.9810014688665836,Adult,Did Not Survive,1st Class,-0.0298,-0.4888,0,0,Q2_mid_low,0.6343
3,18.2,0,0,2.28,0,True,False,False,1,2.28,1,-0.5725954318057154,1.1878434223960523,Adult,Did Not Survive,3rd Class,-0.8705,-0.5723,1,0,Q1_low,0.2439
3,30.2,0,0,13.32,0,True,False,False,1,13.32,1,-0.3403445193786462,2.6616571615325,Adult,Did Not Survive,3rd Class,0.1186,-0.3402,1,1,Q3_mid_high,0.2439
3,37.7,0,0,11.11,1,True,False,True,1,11.11,1,-0.3868367763047171,2.494031557565001,Middle-Aged,Survived,3rd Class,0.7368,-0.3866,1,0,Q2_mid_low,0.2439
3,32.7,1,0,1.0,0,False,False,False,1,1.0,2,-0.5995230738262451,0.6931471805599453,Adult,Did Not Survive,3rd Class,0.3247,-0.5992,0,0,Q1_low,0.2439
2,23.2,1,0,48.94,1,False,True,False,2,24.47,2,0.818002537447817,3.910822284851627,Adult,Survived,2nd Class,-0.4584,0.4088,0,1,Q4_high,0.4615
2,25.0,0,0,5.0,0,False,False,False,2,2.5,1,-1.0307483850241792,1.791759469228055,Adult,Did Not Survive,2nd Class,-0.31,-0.5151,1,0,Q1_low,0.4615
3,28.7,0,0,30.64,0,True,False,True,1,30.64,1,0.0240201367116471,3.4544221428994533,Adult,Did Not Survive,3rd Class,-0.005,0.024,1,1,Q4_high,0.2439
1,53.9,2,2,28.21,0,True,False,True,3,9.403333333333334,5,-0.0813009260601069,3.374511116399649,Middle-Aged,Did Not Survive,1st Class,2.072,-0.0271,0,1,Q3_mid_high,0.6343
3,14.8,3,0,6.15,0,True,False,True,1,6.15,4,-0.4911813891342699,1.9671123567059163,Youth,Did Not Survive,3rd Class,-1.1507,-0.4909,0,0,Q2_mid_low,0.2439
3,37.1,0,0,4.46,1,False,False,True,1,4.46,1,-0.5267342914895006,1.6974487897568136,Middle-Aged,Survived,3rd Class,0.6873,-0.5264,1,0,Q1_low,0.2439
2,44.4,0,1,41.79,0,True,False,False,2,20.895,2,0.5171702867497111,3.7563044304287256,Middle-Aged,Did Not Survive,2nd Class,1.289,0.2584,0,1,Q4_high,0.4615
3,28.4,0,2,15.22,1,True,False,True,1,15.22,3,-0.3003738007544223,2.7862450486872667,Adult,Survived,3rd Class,-0.0298,-0.3002,0,1,Q3_mid_high,0.2439
3,28.4,1,2,12.15,0,True,False,False,1,12.15,4,-0.3649580671630366,2.576421758623773,Adult,Did Not Survive,3rd Class,-0.0298,-0.3648,0,1,Q3_mid_high,0.2439
3,47.8,0,0,2.29,0,True,False,False,1,2.29,1,-0.57238505960243,1.1908875647772803,Middle-Aged,Did Not Survive,3rd Class,1.5692,-0.5721,1,0,Q1_low,0.2439
